Incidència de la COVID-19. Per data de notificació
Catalunya. 
Font: Idescat, a partir de dades del Departament de Salut.
(..) Dada confidencial, amb baixa fiabilitat o no disponible.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=anuals&n=13259&tema=SALUT
;Nous casos diaris confirmats;Defuncions diàries;Altes hospitalàries diàries;Total casos confirmats;Total defuncions;Total altes hospitalàries
11/04/2020;1043;111;677;34027;3442;14975
10/04/2020;1257;100;785;32984;3331;14298
09/04/2020;684;83;450;31727;3231;13513
08/04/2020;1396;107;813;31043;3148;13063
07/04/2020;1324;133;1512;29647;3041;12250
06/04/2020;1499;148;650;28323;2908;10738
05/04/2020;792;123;560;26824;2760;10088
04/04/2020;1298;129;893;26032;2637;9528
03/04/2020;1274;173;786;24734;2508;8635
02/04/2020;1656;242;932;23460;2335;7849
01/04/2020;1813;244;1216;21804;2093;6917
31/03/2020;1218;177;735;19991;1849;5701
30/03/2020;2616;262;841;18773;1672;4966
29/03/2020;1131;184;670;16157;1410;4125
28/03/2020;763;156;349;15026;1226;3455
27/03/2020;1323;190;722;14263;1070;3106
26/03/2020;1348;208;687;12940;880;2384
25/03/2020;1655;156;423;11592;672;1697
24/03/2020;2073;177;519;9937;516;1274
23/03/2020;1939;94;27;7864;339;755
22/03/2020;1221;54;84;5925;245;728
21/03/2020;501;69;494;4704;191;644
20/03/2020;933;40;68;4203;122;150
19/03/2020;568;27;..;3270;82;82
18/03/2020;836;14;..;2702;55;..
17/03/2020;472;23;..;1866;41;..
16/03/2020;491;6;..;1394;18;..
15/03/2020;188;4;..;903;12;..
14/03/2020;206;2;..;715;8;..
13/03/2020;190;0;..;509;6;..
12/03/2020;135;2;..;319;6;..
11/03/2020;55;1;..;184;4;..
10/03/2020;24;0;..;129;3;..
09/03/2020;23;2;..;105;3;..
08/03/2020;29;0;..;82;1;..
07/03/2020;13;0;..;53;1;..
06/03/2020;8;1;..;40;1;..
05/03/2020;5;0;..;32;0;..
04/03/2020;6;0;..;27;0;..
03/03/2020;4;0;..;21;0;..
02/03/2020;3;0;..;17;0;..
01/03/2020;5;0;..;14;0;..
29/02/2020;3;0;..;9;0;..
28/02/2020;3;0;..;6;0;..
27/02/2020;0;0;..;3;0;..
26/02/2020;1;0;..;3;0;..
25/02/2020;1;0;..;2;0;..
24/02/2020;1;0;..;1;0;..
Incidència de la COVID-19. Per data de notificació
Espanya. 
Font: Idescat, a partir de dades del Ministeri de Sanitat.
(..) Dada confidencial, amb baixa fiabilitat o no disponible.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=anuals&n=13259&tema=SALUT
;Nous casos diaris confirmats;Defuncions diàries;Altes hospitalàries diàries;Total casos confirmats;Total defuncions;Total altes hospitalàries
11/04/2020;4167;619;3282;166019;16972;62391
10/04/2020;4830;510;3441;161852;16353;59109
09/04/2020;4576;605;3503;157022;15843;55668
08/04/2020;5756;683;4144;152446;15238;52165
07/04/2020;6180;757;4813;146690;14555;48021
06/04/2020;5478;743;2771;140510;13798;43208
05/04/2020;4273;637;2357;135032;13055;40437
04/04/2020;6023;674;3861;130759;12418;38080
03/04/2020;7026;809;3706;124736;11744;34219
02/04/2020;7472;932;3770;117710;10935;30513
01/04/2020;8102;950;4096;110238;10003;26743
31/03/2020;7719;864;3388;102136;9053;22647
30/03/2020;9222;849;2479;94417;8189;19259
29/03/2020;6398;812;2071;85195;7340;16780
28/03/2020;6549;838;2424;78797;6528;14709
27/03/2020;8189;832;2928;72248;5690;12285
26/03/2020;7871;769;2342;64059;4858;9357
25/03/2020;8578;655;1648;56188;4089;7015
24/03/2020;7937;738;1573;47610;3434;5367
23/03/2020;6584;514;439;39673;2696;3794
22/03/2020;4517;462;780;33089;2182;3355
21/03/2020;3646;394;450;28572;1720;2575
20/03/2020;4946;324;540;24926;1326;2125
19/03/2020;2833;235;478;19980;1002;1585
18/03/2020;3431;169;26;17147;767;1107
17/03/2020;2538;107;53;13716;598;1081
16/03/2020;1987;182;498;11178;491;1028
15/03/2020;1438;21;13;9191;309;530
14/03/2020;2000;152;0;7753;288;517
13/03/2020;1544;16;328;5753;136;517
12/03/2020;1259;36;0;4209;120;189
11/03/2020;822;37;6;2950;84;189
10/03/2020;506;12;48;2128;47;183
09/03/2020;623;19;112;1622;35;135
08/03/2020;410;0;..;999;16;23
07/03/2020;159;8;..;589;16;..
06/03/2020;65;3;..;430;8;..
05/03/2020;128;2;..;365;5;..
04/03/2020;39;2;..;237;3;..
03/03/2020;48;1;..;198;1;..
02/03/2020;36;0;..;150;0;..
01/03/2020;48;0;..;114;0;..
29/02/2020;22;0;..;66;0;..
28/02/2020;12;0;..;44;0;..
27/02/2020;16;0;..;32;0;..
26/02/2020;6;0;..;16;0;..
25/02/2020;7;0;..;10;0;..
24/02/2020;0;0;..;3;0;..

