date;Nous casos diaris confirmats;Defuncions diàries;Altes hospitalàries diàries;Total casos confirmats;Total defuncions;Total altes hospitalàries
11/4/20;1043;111;677;34027;3442;14975
10/4/20;1257;100;785;32984;3331;14298
9/4/20;684;83;450;31727;3231;13513
8/4/20;1396;107;813;31043;3148;13063
7/4/20;1324;133;1512;29647;3041;12250
6/4/20;1499;148;650;28323;2908;10738
5/4/20;792;123;560;26824;2760;10088
4/4/20;1298;129;893;26032;2637;9528
3/4/20;1274;173;786;24734;2508;8635
2/4/20;1656;242;932;23460;2335;7849
1/4/20;1813;244;1216;21804;2093;6917
31/3/20;1218;177;735;19991;1849;5701
30/3/20;2616;262;841;18773;1672;4966
29/3/20;1131;184;670;16157;1410;4125
28/3/20;763;156;349;15026;1226;3455
27/3/20;1323;190;722;14263;1070;3106
26/3/20;1348;208;687;12940;880;2384
25/3/20;1655;156;423;11592;672;1697
24/3/20;2073;177;519;9937;516;1274
23/3/20;1939;94;27;7864;339;755
22/3/20;1221;54;84;5925;245;728
21/3/20;501;69;494;4704;191;644
20/3/20;933;40;68;4203;122;150
19/3/20;568;27;..;3270;82;82
18/3/20;836;14;..;2702;55;..
17/3/20;472;23;..;1866;41;..
16/3/20;491;6;..;1394;18;..
15/3/20;188;4;..;903;12;..
14/3/20;206;2;..;715;8;..
13/3/20;190;0;..;509;6;..
12/3/20;135;2;..;319;6;..
11/3/20;55;1;..;184;4;..
10/3/20;24;0;..;129;3;..
9/3/20;23;2;..;105;3;..
8/3/20;29;0;..;82;1;..
7/3/20;13;0;..;53;1;..
6/3/20;8;1;..;40;1;..
5/3/20;5;0;..;32;0;..
4/3/20;6;0;..;27;0;..
3/3/20;4;0;..;21;0;..
2/3/20;3;0;..;17;0;..
1/3/20;5;0;..;14;0;..
29/2/20;3;0;..;9;0;..
28/2/20;3;0;..;6;0;..
27/2/20;0;0;..;3;0;..
26/2/20;1;0;..;3;0;..
25/2/20;1;0;..;2;0;..
24/2/20;1;0;..;1;0;..
